0:0:15.400000 to 0:0:16.000000
0:0:20.300000 to 0:0:20.400000
0:0:23.100000 to 0:0:23.500000
0:0:27.900000 to 0:0:29.400000
0:0:37.600000 to 0:0:38.200000
0:0:39.700000 to 0:0:41.400000
0:0:44.800000 to 0:0:45.300000
0:0:48.100000 to 0:0:48.500000
0:0:52.200000 to 0:0:52.600000
0:0:54.000000 to 0:0:54.400000
0:0:55.900000 to 0:0:56.500000
0:0:57.900000 to 0:0:58.300000
0:0:59.800000 to 0:0:59.800000
0:1:4.800000 to 0:1:5.700000
0:1:11.500000 to 0:1:11.500000
0:1:12.900000 to 0:1:13.100000
0:1:15.800000 to 0:1:15.800000
0:1:18.000000 to 0:1:18.300000
0:1:22.300000 to 0:1:22.800000
0:1:24.100000 to 0:1:24.800000
0:1:51.400000 to 0:1:53.300000
0:1:54.600000 to 0:1:58.600000
0:2:2.600000 to 0:2:2.600000
0:2:18.000000 to 0:2:18.300000
0:2:25.900000 to 0:2:26.000000
0:2:27.200000 to 0:2:32.000000
0:2:33.400000 to 0:2:33.400000
0:2:37.400000 to 0:2:39.300000
0:2:40.900000 to 0:2:47.200000
0:2:51.000000 to 0:2:51.100000
0:3:3.300000 to 0:3:3.300000
0:3:6.500000 to 0:3:6.500000
0:3:10.300000 to 0:3:19.400000
0:3:21.100000 to 0:3:22.200000
0:3:24.600000 to 0:3:30.400000
0:3:33.400000 to 0:3:33.400000
0:3:36.600000 to 0:3:36.600000
0:3:40.900000 to 0:3:47.300000
0:3:48.800000 to 0:3:50.800000
0:3:54.300000 to 0:3:54.300000
0:3:57.100000 to 0:3:57.200000
0:4:2.300000 to 0:4:2.500000
0:4:5.200000 to 0:4:8.200000
0:4:10.900000 to 0:4:13.700000
0:4:15.700000 to 0:4:16.100000
0:4:18.900000 to 0:4:19.800000
0:4:21.400000 to 0:4:21.400000
0:4:23.200000 to 0:4:23.600000
0:4:29.100000 to 0:4:30.400000
0:4:32.700000 to 0:4:32.800000
0:4:47.600000 to 0:4:48.400000
0:5:39.500000 to 0:5:40.000000
0:5:54.300000 to 0:5:54.600000
0:6:5.400000 to 0:6:6.000000
0:6:8.300000 to 0:6:8.800000
0:6:20.200000 to 0:6:20.200000
0:6:27.600000 to 0:6:28.900000
0:6:30.300000 to 0:6:30.800000
0:6:35.500000 to 0:6:35.900000
0:6:41.000000 to 0:6:41.400000
0:6:44.600000 to 0:6:44.600000
0:6:48.300000 to 0:6:48.300000
0:6:54.400000 to 0:6:54.400000
0:7:2.500000 to 0:7:2.500000
0:7:16.500000 to 0:7:16.600000
0:8:6.800000 to 0:8:7.000000
0:8:11.200000 to 0:8:11.200000
0:8:34.200000 to 0:8:35.100000
0:8:50.700000 to 0:8:51.000000
0:8:57.600000 to 0:8:59.400000
0:10:12.600000 to 0:10:12.600000
0:10:16.200000 to 0:10:16.200000
0:10:24.400000 to 0:10:24.400000
0:10:28.300000 to 0:10:28.600000
0:10:35.400000 to 0:10:35.400000
0:10:46.500000 to 0:10:46.800000
0:10:52.900000 to 0:10:52.900000
0:11:11.000000 to 0:11:11.000000
0:11:21.300000 to 0:11:21.700000
0:11:41.600000 to 0:11:41.900000
0:11:48.600000 to 0:11:48.800000
0:11:51.200000 to 0:11:51.500000
0:12:2.600000 to 0:12:2.700000
0:12:4.100000 to 0:12:4.300000
0:12:6.900000 to 0:12:7.300000
0:12:54.300000 to 0:12:55.800000
0:13:2.500000 to 0:13:2.600000
0:14:54.300000 to 0:14:55.000000
0:14:57.500000 to 0:14:57.800000
0:15:3.100000 to 0:15:3.400000
0:15:4.900000 to 0:15:4.900000
0:15:6.800000 to 0:15:6.800000
0:15:10.900000 to 0:15:10.900000
0:15:14.000000 to 0:15:14.000000
0:15:19.700000 to 0:15:20.200000
0:15:23.200000 to 0:15:23.200000
0:15:28.600000 to 0:15:28.900000
0:15:31.200000 to 0:15:31.600000
0:15:39.000000 to 0:15:41.000000
0:15:42.900000 to 0:15:43.400000
0:15:44.800000 to 0:15:45.200000
0:15:48.800000 to 0:15:49.200000
0:15:57.000000 to 0:15:57.000000
0:15:58.900000 to 0:15:59.600000
0:16:0.800000 to 0:16:1.300000
0:16:6.700000 to 0:16:7.100000
0:16:9.000000 to 0:16:9.300000
0:16:14.100000 to 0:16:14.700000
0:16:19.200000 to 0:16:19.700000
0:16:38.700000 to 0:16:39.000000
0:16:44.500000 to 0:16:44.700000
0:16:57.900000 to 0:16:58.000000
0:17:1.800000 to 0:17:1.800000
0:17:10.700000 to 0:17:11.500000
0:17:14.500000 to 0:17:15.000000
0:17:26.200000 to 0:17:26.500000
0:17:34.300000 to 0:17:34.700000
0:17:38.300000 to 0:17:38.300000
